name,n,nnz,aver_nnz,var_nnz,ell_ratio, median,mode_element,SD_nnz,TB_size,maxregcount,mem_setting,format,energy,performance,av_pow,perf_per_watt,,mem_setting,0=Equal,1=L1,2=None,3=Shared
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,16,1,0,0.017808112,605.1318,29.362571,190643011.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,24,1,0,0.016605555,562.5572,29.44750693,204479476.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,32,1,0,0.015916312,539.0728,29.44526939,213403723.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,40,1,0,0.015915334,538.4234,29.51104758,213184876.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,48,1,0,0.015978728,539.864,29.51945438,212555452.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,56,1,0,0.015934398,539.0554,29.50641872,212968338.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,64,1,0,0.015930962,538.6376,29.49638062,213206062.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,72,1,0,0.015917863,537.8902,29.48419149,213590577.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,128,1,0,0.016019909,541.2542,29.57551118,211607670.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,255,1,0,0.016028278,541.5424,29.52656601,211845644.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,16,1,0,0.019651951,666.5892,29.44808058,172563793.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,24,1,0,0.018155444,624.5436,29.03620786,186793726.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,32,1,0,0.017477368,592.2486,29.45892986,194152924,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,40,1,0,0.017486587,589.8976,29.51868584,194532109.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,48,1,0,0.017508856,591.3114,29.54197185,193914021.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,56,1,0,0.017506856,591.2836,29.55960295,193807471.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,64,1,0,0.017503684,591.0208,29.54257477,194005407.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,72,1,0,0.017464688,589.937,29.51740843,194527535.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,128,1,0,0.017479044,590.0386,29.54091272,194339289.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,255,1,0,0.017534816,591.6106,29.56326803,193676334.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,16,2,0,0.01564828,529.6764,29.52544153,216599734.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,24,2,0,0.015277975,517.0822,29.54339664,221740453.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,32,2,0,0.014652879,499.7122,29.34297929,231015321.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,40,2,0,0.014651659,497.9608,29.39941612,231382806,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,48,2,0,0.014664909,498.654,29.32234098,231668505.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,56,2,0,0.014708133,500.0574,29.29472416,231236119.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,64,2,0,0.014772876,501.7602,29.38491631,229744052.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,72,2,0,0.014775652,501.1356,29.42683702,229702702.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,128,2,0,0.014579245,493.8682,29.48852978,232595207.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,255,2,0,0.014496027,491.491,29.43061191,234180151.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,16,2,0,0.016635544,562.302,29.53687847,203953292.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,24,2,0,0.015834504,535.3756,29.52884525,214269278.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,32,2,0,0.014983594,510.2614,29.38350628,225927247,,,,,,
